9.611,9.438,9.326,9.194,9.123,9.095,9.172,9.281,9.454,9.593,9.8
8.384,8.202,8.097,7.961,7.895,7.895,8.005,8.154,8.387,8.557,8.819
9.185,9.009,8.905,8.778,8.721,8.74,8.879,9.048,9.305,9.486,9.77
8.904,8.701,8.584,8.443,8.383,8.418,8.603,8.818,9.141,9.349,9.698
7.76,7.581,7.474,7.359,7.324,7.385,7.591,7.826,8.1,8.394,8.757
7.774,7.603,7.501,7.398,7.38,7.463,7.71,7.978,8.3,8.75,9.45
7.867,7.675,7.556,7.44,7.425,7.53,7.77,8.1,8.55,9.1,9.7
8.055,7.852,7.734,7.609,7.591,7.697,7.994,8.321,8.7,9.117,9.75
8.199,7.971,7.836,7.696,7.668,7.793,8.1,8.462,8.9,9.368,9.888
8.292,8.052,7.906,7.755,7.713,7.855,8.168,8.565,9,9.507,10.071
8.369,8.133,7.983,7.843,7.836,7.983,8.364,8.788,9.31,9.833,10.443
8.585,8.303,8.117,7.946,7.934,8.092,8.516,8.994,9.59,10.212,10.907
8.771,8.511,8.341,8.185,8.193,8.355,8.788,9.27,9.84,10.504,11.192
8.882,8.626,8.451,8.298,8.313,8.49,8.938,9.438,10.209,10.734,11.439
8.989,8.758,8.591,8.461,8.488,8.673,9.133,9.649,10.424,10.958,11.655
9.122,8.892,8.726,8.595,8.627,8.805,9.277,9.805,10.589,11.117,11.815
9.341,9.082,8.887,8.731,8.76,8.93,9.41,9.954,10.772,11.327,12.052
9.53,9.257,9.083,8.921,8.935,9.072,9.516,10.052,10.842,11.397,12.095
9.663,9.395,9.215,9.041,9.059,9.175,9.592,10.134,10.897,11.435,12.13
10.142,9.81,9.578,9.354,9.338,9.44,9.883,10.436,11.273,11.815,12.555
10.121,9.796,9.616,9.445,9.398,9.429,9.761,10.301,11.212,11.859,12.595
10.104,9.784,9.609,9.444,9.398,9.421,9.737,10.296,11.237,11.896,12.627
10.089,9.774,9.603,9.443,9.398,9.415,9.714,10.29,11.258,11.928,12.655
